metric,baseline,optimized
precision,0.1516,0.2100
recall,0.9846,0.9414
f1,0.2628,0.3434
accuracy,0.1578,0.4512
average_precision,0.1327,0.1872
roc_auc,0.4245,0.6029
train_loss,,0.5850
val_loss,,0.5480
train_acc,,0.8491
val_acc,,0.8679
